       X(m)            Y(m)              Y(m)         
   -1132914.6713    6092528.2339    1504633.4256
   -1132914.6724    6092528.2397    1504633.4354
   -1132914.6710    6092528.2435    1504633.4467
   -1132914.6727    6092528.2567    1504633.4403
   -1132914.6781    6092528.2603    1504633.4423
   -1132914.6847    6092528.2711    1504633.4402
   -1132914.6882    6092528.2629    1504633.4466
   -1132914.6878    6092528.2554    1504633.4457
   -1132914.6829    6092528.2686    1504633.4505
   -1132914.6737    6092528.2591    1504633.4440
   -1132914.6730    6092528.2453    1504633.4342
   -1132914.6734    6092528.2392    1504633.4351
   -1132914.6560    6092528.2219    1504633.4435
   -1132914.6635    6092528.2417    1504633.4539
   -1132914.6577    6092528.2337    1504633.4538
   -1132914.6561    6092528.2402    1504633.4620
   -1132914.6542    6092528.2369    1504633.4680
   -1132914.6417    6092528.2107    1504633.4652
   -1132914.6320    6092528.1910    1504633.4722
   -1132914.6359    6092528.1864    1504633.4753
   -1132914.6311    6092528.2120    1504633.4753
   -1132914.6219    6092528.2008    1504633.4810
   -1132914.6138    6092528.1623    1504633.4746
   -1132914.6179    6092528.1727    1504633.4781
   -1132914.6136    6092528.1467    1504633.4735
   -1132914.6171    6092528.1312    1504633.4586
   -1132914.6215    6092528.1046    1504633.4628
   -1132914.6185    6092528.1185    1504633.4676
   -1132914.6233    6092528.1184    1504633.4724
   -1132914.6077    6092528.1146    1504633.4750
   -1132914.5989    6092528.0895    1504633.4651
   -1132914.6048    6092528.0916    1504633.4757
   -1132914.5980    6092528.1030    1504633.4766
   -1132914.5939    6092528.0863    1504633.4759
   -1132914.5865    6092528.0538    1504633.4800
   -1132914.5744    6092528.0160    1504633.4780
   -1132914.5557    6092527.9928    1504633.4750
   -1132914.5539    6092527.9584    1504633.4734
   -1132914.5552    6092527.9524    1504633.4776
   -1132914.5517    6092527.9477    1504633.4807
   -1132914.5451    6092527.9022    1504633.4779
   -1132914.5401    6092527.9099    1504633.4760
   -1132914.5324    6092527.8912    1504633.4732
   -1132914.5254    6092527.8712    1504633.4732
   -1132914.5174    6092527.8528    1504633.4721
   -1132914.5144    6092527.8692    1504633.4783
   -1132914.5122    6092527.8599    1504633.4808
   -1132914.5121    6092527.8592    1504633.4810
   -1132914.5145    6092527.8622    1504633.4802
   -1132914.5158    6092527.8758    1504633.4872
   -1132914.5246    6092527.8667    1504633.4810
   -1132914.5139    6092527.8502    1504633.4899
